# Name: stabilityDerivatives_CFD_mix_V80_NP
# Software: ANSYS Fluent
# Comment: Full aircraft, main AoA: maneuvres, beta: V1.1, p: back, q, r: maneuvres, CSD: V1, yplus ~50
# Coeff = C0 * alpha ** 0 + C1 * alpha ** 1 + C2 * alpha ** 2#Coef, C0,C1,C2
CX0, -0.1164, 0.4564, 2.3044
CXb, 0.0279, 0.0414, 0.8307
CXp, 0.0342, 0.1529, -1.8588
CXq, -0.4645, 8.5417, -10.8181
CXr, -0.0006, 0.0519, 0.4025
CXda, -0.0168, 0.0733, 1.3335
CXde, 0.0002, -0.0182, 0.4100
CXdr, -0.0173, -0.0150, -0.2922
CY0, -0.0000, 0.0002, 0.0013
CYb, -0.2740, 0.1664, 0.8803
CYp, 0.0198, -0.2312, -0.3150
CYq, 0.0007, -0.0010, 0.0799
CYr, 0.0911, -0.0267, -0.4982
CYda, 0.0063, 0.0119, -0.0754
CYde, 0.0001, -0.0012, -0.0216
CYdr, 0.2259, -0.1198, 0.1955
CZ0, -0.9245, -3.7205, 4.7972
CZb, 0.1123, -0.1250, -5.0971
CZp, 0.1387, 0.1685, -27.9934
CZq, -5.6405, 60.9970, 240.6406
CZr, 0.0067, 0.1349, -4.4412
CZda, 0.0638, -1.8662, -26.6776
CZde, -0.4897, 0.2366, 3.4195
CZdr, 0.0044, 0.0123, -0.2717
Cl0, 0.0000, 0.0002, 0.0001
Clb, 0.0344, -0.1786, -2.6711
Clp, -0.4052, 0.4109, -0.5721
Clq, 0.0180, 0.0258, -2.1828
Clr, 0.1802, 0.5792, -0.0129
Clda, -0.0941, -0.1921, -0.2034
Clde, 0.0000, -0.0063, -0.0912
Cldr, 0.0106, -0.0214, -0.0874
Cm0, 0.0279, -0.5307, -0.9786
Cmb, -0.0184, 0.7392, 8.2241
Cmp, 0.0008, -0.1007, -0.0845
Cmq, -8.0446, 1.1837, -20.8571
Cmr, -0.0021, -0.2081, -2.4176
Cmda, 0.0177, 0.9504, 4.4178
Cmde, -1.2524, -0.0920, 11.6916
Cmdr, 0.0165, 0.0416, 0.0795
Cn0, -0.0000, -0.0000, 0.0004
Cnb, 0.0682, 0.0048, -0.1193
Cnp, -0.0412, -0.4284, -1.0241
Cnq, -0.0007, 0.0072, 0.0489
Cnr, -0.0555, 0.0316, 0.1057
Cnda, 0.0234, -0.0113, -0.6566
Cnde, -0.0000, -0.0001, 0.0014
Cndr, -0.0509, 0.0287, -0.0572
